DIA,MES,ANO,HORA,VELOCIDAD VIENTO,DIR. VIENTO,TEMPERATURA,HUMEDAD RELATIVA,PRESION BARIOMETRICA,PRECIPITACIONES
1,6,2021,19,1.96,214.0,25.6,36,940,0.0
1,6,2021,20,1.76,208.0,24.1,36,940,0.0
1,6,2021,21,1.55,209.0,22.5,38,940,0.0
1,6,2021,22,1.19,198.0,21.3,43,941,0.0
1,6,2021,23,0.86,215.0,20.1,51,942,0.0
1,6,2021,24,0.74,175.0,18.9,58,942,0.0
1,7,2019,1,0.0,0.0,0.0,0,0,0.0
1,7,2019,2,0.0,0.0,0.0,0,0,0.0
1,7,2019,3,0.0,0.0,0.0,0,0,0.0
1,7,2019,4,0.0,0.0,0.0,0,0,0.0
1,7,2019,5,0.0,0.0,0.0,0,0,0.0
1,7,2019,6,0.0,0.0,0.0,0,0,0.0
1,7,2019,7,0.0,0.0,0.0,0,0,0.0
1,7,2019,8,0.0,0.0,0.0,0,0,0.0
1,7,2019,9,0.0,0.0,0.0,0,0,0.0
1,7,2019,10,0.0,0.0,0.0,0,0,0.0
1,7,2019,11,0.0,0.0,0.0,0,0,0.0
1,7,2019,12,0.0,0.0,0.0,0,0,0.0
1,7,2019,13,0.2,90.0,-55.0,-25,725,0.0
1,7,2019,14,0.76,90.0,9.0,9,883,0.0
1,7,2019,15,1.24,205.0,35.2,22,945,0.0
1,7,2019,16,1.68,199.0,35.4,22,945,0.0
1,7,2019,17,1.87,213.0,35.6,20,944,0.0
1,7,2019,18,1.95,209.0,35.6,20,944,0.0
1,7,2019,19,2.14,210.0,35.2,20,944,0.0
1,7,2019,20,1.65,234.0,34.5,20,943,0.0
1,7,2019,21,1.28,223.0,32.8,19,944,0.0
1,7,2019,22,1.76,234.0,30.9,24,945,0.0
1,7,2019,23,3.13,73.0,26.6,36,945,0.0
1,7,2019,24,1.53,74.0,25.3,41,946,0.0
1,7,2020,1,0.58,225.0,28.7,33,941,0.0
1,7,2020,2,0.59,125.0,27.9,35,941,0.0
1,7,2020,3,0.58,190.0,26.0,39,942,0.0
1,7,2020,4,0.65,18.0,26.1,37,942,0.0
1,7,2020,5,0.62,175.0,25.0,40,942,0.0
